gurmukhi,english
\M\w,njannjaa
\M\Y,njannjai
\o,njo
\qn,njatan
\w,njaa
\whU,njaahoo
\wxhu,njaannhu
\wxq,njaannat
|ix,nganne
|M|w,nganngaa
|M|Y,nganngai
|RwsY,ngraasai
|xI,ngannee
|xqI,nganntee
<>,ek oankaar
Aau,Aou
AauD,Aoudh
AauDih,Aoudhahe
AauDU,Aoudhoo
AauDUq,Aoudhoot
AauDUqI,Aoudhootee
AauDUqu,Aoudhootu
AauDUqw,Aoudhootaa
AaugixAwir,Aouganneaare
AaugixAwrI,Aouganneaaree
AaugixAwry,Aouganneaaray
Aaugn,Aougan
Aaugnu,Aouganu
AauGt,Aoughatt
AauGtu,Aoughattu
Aauguix,Aougunne
AauguixAwrw,Aougunneaaraa
Aaugux,Aougunn
AauguxvMiqAw,Aougunnvanteaa
AauguxvMqI,Aougunnvantee
Aaugx,Aougann
AaugxI,Aougannee
Aaugxu,Aougannu
AaugxvMqI,Aougannvantee
Aauil,Aoule
Aaujwiq,Aoujaate
AauKD,Aoukhadh
AauKd,Aoukhad
AauKDu,Aoukhadhu
AauKdu,Aoukhadu
AauKI,Aoukhee
AauKiD,Aoukhadhe
AauKIvnw,Aoukheevanaa
AauKw,Aoukhaa
AauKy,Aoukhay
AaulIey,Aouleeay
AauqirAw,Aoutareaa
AauqrwsI,Aoutaraasee
AauqrY,Aoutarai
Aauqu,Aoutu
Aauqwku,Aoutaaku
Aauqwr,Aoutaar
Aauqwru,Aoutaaru
Aauqwrw,Aoutaaraa
Aauqwry,Aoutaaray
Aaur,Aour
AaurI,Aouree
Aaurn,Aouran
Aauro,Aouro
Aaurq,Aourat
Aauru,Aouru
Aaurw,Aouraa
Aaurwq,Aouraat
AaurY,Aourai
Aausir,Aousare
Aausr,Aousar
Aausru,Aousaru
AB,Abh
Ab,Ab
ABau,Abhaaou
AbD,Abadh
AbdwlI,Abdaalee
Abdwlw,Abdaalaa
ABg,Abhag
Abgqu,Abgatu
ABgu,Abhagu
ABgw,Abhagaa
ABgY,Abhagai
ABIcu,Abheechu
Abih,Abahe
AbIinAw,Abeeneaa
ABKu,Abhakhu
Abl,Abal
Ablu,Abalu
ABMg,Abhang
ABmwnu,Abhmaanu
Abol,Abol
ABr,Abhar
ABrn,Abharan
Abrn,Abaran
Abrnw,Abarnaa
ABrq,Abharat
ABrw,Abharaa
AbuJxw,Abujhnnaa
ABulu,Abhulu
ABUlu,Abhoolu
ABUlw,Abhoolaa
ABwau,Abhaaou
ABwg,Abhaag
ABwgI,Abhaagee
ABwgu,Abhaagu
ABwgw,Abhaagaa
ABwgy,Abhaagay
